my_id,Length,Aft_offset,Nose_radius,Height,Width,Max_width_pos,Bottom_tan,Drag,Side_force
26,1.430084675,-0.0459024351,0.5753798276,0.919428919,0.9137678522,-0.2527239458,0.5937351568,34.9082,-958.559
27,1.216215526,-0.01493438,0.5283438169,0.9739611053,1.06597771,-0.5364149083,0.7732526552,34.7449,-949.208
28,1.289297575,0.0069646314,0.5406822054,1.135473094,0.9518436191,-0.3542122549,0.6217692653,31.1168,-926.795
29,1.222286164,-0.0503515614,0.5273923391,0.8297931354,0.8749199486,-0.4747653765,0.9771518855,38.4372,-970.359
30,1.250745094,0.0121679332,0.5853249798,1.024663815,1.08435166,-0.4424617796,0.8473622843,33.8726,-921.701
31,1.547649391,-0.0499168855,0.6732278403,1.195091933,0.902229115,-0.5148779425,1.022642818,33.0634,-960.569
32,1.374258531,0.0178270144,0.5521987066,0.9884448843,1.199438819,-0.1427774921,1.069656461,33.0404,-956.977
33,1.485103048,-0.0253941266,0.5023502076,0.8635113695,1.089914373,-0.4968079964,1.158882884,30.9288,-974.832
34,1.448042902,0.009300355,0.6693813626,1.120630397,1.071560961,-0.3203575585,1.011864871,30.5039,-942.952
35,1.256890777,0.0553266899,0.6550934729,0.8900321338,0.8356326811,-0.0893163886,0.6629671176,38.913,-901.209
36,1.334327245,0.0390557823,0.680688553,0.8548686206,0.8440093222,-0.4353600362,0.7885986335,41.6604,-926.536
37,1.120310177,-0.0248590971,0.6076157414,1.18033058,1.093289254,-0.3267936401,0.6691234115,30.5997,-914.713
38,1.465004534,-0.0582549025,0.5197732272,1.164037949,0.907218175,-0.2234248782,0.5809696063,40.0806,-996.047
39,1.43347392,-0.0471234407,0.6925812792,1.109091757,0.8641441639,-0.3176944317,1.094866809,33.0321,-964.181
40,1.420721056,0.0028776392,0.558923979,1.042438641,1.147778072,-0.108865537,1.048287708,31.184,-942.516
41,1.373734242,0.057899875,0.5719103833,1.086435535,0.9549359262,-0.298303157,1.064840702,46.6745,-924.143
