eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
8.90E+001,2.71E-001,2.22E-001,5.55E-001,9.36E-002,3.44E-002,5.86E-001,2.50E-001,2.17E-001,3.95E-001,1.15E+000,3.58E+001,-2.60E+000,41.4948,130.669,296.577
9.00E+001,4.34E-001,3.54E-001,2.89E-001,5.83E-001,2.26E-001,8.84E-001,2.93E-001,3.72E-001,2.34E-001,4.14E-001,7.02E-001,-7.14E+000,47.7135,-3.78925,530.923
9.10E+001,7.79E-001,3.55E-001,2.18E-001,2.02E-001,5.36E-001,9.65E-001,2.20E-001,2.94E-001,2.28E-001,1.19E+000,2.09E+001,-7.33E+000,41.2796,54.9559,514.109
9.20E+001,7.07E-001,4.07E-001,7.51E-001,7.87E-001,3.74E-001,4.62E-001,2.87E-001,3.37E-001,3.21E-001,8.74E+000,2.49E+001,-1.06E+001,53.4549,209.848,819.887
9.30E+001,5.18E-001,4.65E-001,6.72E-001,2.51E-001,3.93E-001,2.99E-002,2.09E-001,2.54E-001,2.07E-001,7.68E+000,3.46E+001,-1.15E+001,38.7559,160.07,483.277
9.40E+001,7.54E-001,7.37E-001,2.87E-001,4.07E-001,8.78E-001,3.99E-001,3.92E-001,2.10E-001,3.92E-001,8.02E+000,2.68E+001,-1.41E+001,64.5713,317.67,1160.05
9.50E+001,1.05E-001,1.23E-001,6.16E-002,6.26E-001,1.10E-001,9.78E-001,3.11E-001,2.76E-001,2.51E-001,9.62E+000,3.88E+001,-1.06E+001,38.345,53.6226,147.94
9.60E+001,6.10E-001,5.58E-001,5.60E-001,6.46E-001,4.90E-001,6.92E-001,2.47E-001,3.41E-001,1.34E-001,6.64E+000,9.03E+000,-6.24E+000,47.9604,94.8155,791.958
9.70E+001,5.66E-001,5.10E-001,9.91E-002,7.08E-001,5.28E-001,1.86E-001,3.40E-001,3.46E-001,3.51E-001,4.33E+000,6.87E+000,-1.19E+001,55.5193,62.1063,814.455
9.80E+001,5.77E-001,7.58E-001,3.04E-001,3.50E-001,8.73E-001,5.63E-001,2.23E-001,3.51E-001,1.57E-001,5.65E+000,3.51E+001,-1.42E+001,45.3369,220.262,802.994
9.90E+001,2.60E-002,5.29E-001,6.75E-001,4.74E-002,8.84E-001,7.05E-001,3.70E-001,2.82E-001,2.38E-001,7.38E+000,1.22E+001,-4.59E+000,57.723,148.306,835.531
1.00E+002,1.24E-001,6.79E-001,1.84E-001,6.75E-001,4.83E-001,6.96E-001,3.74E-001,3.54E-001,3.87E-001,1.63E+000,8.83E+000,-5.43E+000,63.787,69.7189,861.008
1.01E+002,9.19E-002,7.53E-001,7.78E-001,4.19E-001,9.88E-001,7.12E-001,3.10E-001,2.13E-001,3.77E-001,3.83E+000,2.14E+001,-9.62E+000,61.0187,238.331,934.567
1.02E+002,2.82E-001,6.31E-001,4.05E-001,8.42E-001,1.86E-001,6.15E-001,3.96E-001,2.70E-001,3.22E-001,6.11E+000,9.36E+000,-1.24E+001,60.4758,104.98,820.737
1.03E+002,7.73E-001,3.30E-001,2.66E-001,6.39E-001,6.63E-001,5.26E-001,3.64E-001,3.16E-001,1.75E-001,9.49E+000,3.42E+001,-9.78E+000,50.6098,206.814,738.452
1.04E+002,4.07E-002,5.42E-001,1.79E-001,1.49E-001,8.02E-001,2.26E-001,3.58E-001,2.85E-001,1.24E-001,4.96E+000,1.01E+001,1.88E+000,49.5259,93.1942,720.618
1.05E+002,7.92E-002,2.35E-001,3.92E-001,9.06E-002,3.47E-001,7.29E-001,3.88E-001,2.35E-001,3.52E-001,5.64E+000,1.65E+001,2.12E+000,48.6176,84.9262,383.615
1.06E+002,2.43E-001,3.94E-001,5.34E-001,4.87E-002,7.63E-001,7.81E-001,3.66E-001,3.73E-001,1.56E-001,2.33E+000,2.90E+001,-1.30E+001,50.296,168.911,654.866
1.07E+002,3.62E-002,1.94E-001,7.51E-002,6.11E-001,8.09E-001,1.63E-002,2.75E-001,3.40E-001,3.94E-001,9.91E+000,6.05E+000,-1.47E+001,42.3455,30.1913,233.54
1.08E+002,3.69E-001,4.56E-003,4.91E-001,7.14E-001,3.00E-001,2.44E-001,3.46E-001,3.02E-001,3.12E-001,7.90E+000,7.76E+000,-4.06E-001,47.7304,34.6912,271.093
1.09E+002,7.97E-001,4.85E-001,6.55E-001,3.58E-001,6.12E-001,3.93E-001,2.01E-001,3.02E-001,1.08E-001,5.53E+000,7.02E+000,-1.03E+001,43.1665,59.8232,662.362
1.10E+002,3.97E-002,5.50E-002,2.73E-001,1.00E+000,9.93E-001,5.59E-001,2.84E-001,2.80E-001,2.56E-001,5.47E+000,2.66E+001,-9.79E-002,39.1647,42.5325,121.102
1.11E+002,7.42E-001,7.78E-001,3.81E-001,8.53E-001,1.15E-001,6.47E-001,3.97E-001,3.46E-001,1.70E-001,1.35E+000,1.77E+001,-1.43E+000,70.6106,132.291,1128.29
1.12E+002,1.58E-001,1.53E-001,2.82E-001,3.60E-001,4.04E-001,6.71E-001,2.23E-001,3.68E-001,1.52E-001,5.22E+000,4.54E+000,-1.28E+001,37.194,13.1957,216.67
1.13E+002,1.54E-001,3.42E-001,2.95E-001,2.63E-001,9.02E-001,6.81E-002,3.75E-001,2.18E-001,1.17E-001,7.54E+000,3.50E+001,2.35E+000,41.2228,168.201,462.781
1.14E+002,2.39E-001,4.12E-001,5.59E-001,5.15E-001,9.37E-001,1.78E-001,2.17E-001,2.67E-001,1.92E-001,1.62E+000,2.40E+001,-9.87E+000,38.26,95.235,449.828
1.15E+002,4.88E-001,8.04E-002,5.86E-001,1.24E-001,4.26E-001,1.51E-001,3.75E-001,2.32E-001,2.51E-001,6.39E+000,1.95E+001,-2.91E+000,45.3439,65.7006,304.157
1.16E+002,6.25E-001,1.68E-001,5.74E-001,1.66E-001,8.16E-001,5.36E-001,2.89E-001,2.11E-001,1.46E-001,3.54E+000,7.59E+000,-1.33E+001,40.1553,31.8685,397.788
1.17E+002,1.87E-001,4.17E-001,4.57E-001,9.79E-001,1.40E-001,5.82E-001,3.96E-001,3.43E-001,3.30E-001,7.52E+000,1.58E+001,-5.59E+000,55.1977,122.187,597.826
1.18E+002,1.77E-001,2.33E-001,2.91E-002,2.51E-001,2.03E-001,8.25E-001,2.05E-001,2.27E-001,1.23E-001,1.34E+000,2.63E+001,-1.16E+001,31.779,30.0492,176.228
1.19E+002,8.19E-002,7.04E-001,2.20E-001,9.29E-001,3.31E-001,2.48E-001,3.29E-001,3.36E-001,3.53E-001,2.32E+000,1.13E+000,4.40E-001,58.789,19.3088,744.912
