,eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
,8.20E+001,6.19E-001,6.45E-001,3.45E-001,7.85E-001,6.86E-002,6.57E-001,3.05E-001,2.30E-001,3.53E-001,6.00E+000,2.52E+000,-10.32136301,54.0468,56.8519,778.995
,8.30E+001,6.30E-001,7.80E-001,4.51E-001,5.72E-001,3.83E-001,7.82E-001,2.63E-001,3.33E-001,1.69E-001,5.28E+000,2.84E+001,-0.4362755667,53.8909,219.61,910.722
,8.40E+001,6.53E-001,2.23E-001,6.14E-001,4.80E-002,7.20E-001,7.33E-001,3.49E-001,3.68E-001,2.21E-001,1.95E+000,5.24E+000,-1.692969001,52.9309,29.2174,624.777
,8.50E+001,6.66E-001,1.46E-001,6.75E-001,3.36E-001,6.76E-001,1.11E-001,2.08E-001,2.14E-001,3.62E-001,2.43E+000,4.40E+000,-8.062370174,43.4895,20.1584,416.545
,8.60E+001,6.71E-001,7.27E-001,1.86E-001,5.46E-001,2.41E-001,7.90E-001,2.95E-001,3.51E-001,1.69E-001,5.59E+000,3.84E+001,-3.089013457,55.167,234.896,851.816
,8.70E+001,6.78E-001,3.43E-001,5.13E-001,6.30E-001,2.32E-001,2.63E-001,3.07E-001,3.43E-001,3.37E-001,8.52E+000,8.03E-001,-11.22523606,53.4422,61.5815,689.393
,8.80E+001,6.83E-001,9.86E-002,1.17E-001,7.45E-001,7.85E-001,7.41E-002,2.21E-001,2.32E-001,3.42E-001,8.33E+000,3.32E+001,4.639467196,38.1681,66.3353,325.7
,8.90E+001,6.89E-001,1.36E-001,4.36E-001,1.24E-001,6.28E-001,8.61E-001,2.34E-001,2.32E-001,1.84E-001,3.79E+000,2.00E+001,-4.332138211,38.3499,58.4391,350.69
,9.00E+001,6.92E-001,4.86E-001,9.61E-002,1.45E-001,9.87E-001,6.20E-001,3.36E-001,2.81E-001,2.32E-001,5.74E+000,1.78E+001,-6.942574741,49.1719,118.536,718.975
,9.10E+001,6.96E-001,7.20E-001,4.41E-001,4.16E-001,9.04E-001,7.21E-001,2.60E-001,3.32E-001,3.65E-001,5.82E+000,3.33E+001,1.381804224,55.0519,295.871,986.595
