id	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	ofn1	ofn2	ofn3
187	0.225	0.706	0.547	0.77	0.586	0.462	0.342	0.282	0.118	1.78	36.1	-1.6	54.1	265	850
188	0.751	0.582	0.459	0.156	0.207	0.526	0.363	0.356	0.103	7.93	23.8	-3.76	57.6	190	832
189	0.672	0.0254	0.157	0.108	0.835	0.455	0.386	0.326	0.135	9.62	5	-14	46.6	36.3	264
190	0.169	0.723	0.273	0.122	0.609	0.501	0.243	0.35	0.338	4.39	1.54	-14.4	50.3	31	718
191	0.291	0.0943	0.719	0.696	0.412	0.908	0.391	0.229	0.362	2.14	1.93	-5.1	54.3	12.8	431
192	0.723	0.627	0.748	0.535	0.989	0.411	0.312	0.226	0.156	9.25	32.1	-7.16	48.8	282	856
193	0.462	0.263	0.501	0.192	0.842	0.433	0.295	0.317	0.203	8.71	7.17	-9.23	44.9	70.3	524
194	0.129	0.657	0.205	0.584	0.973	0.949	0.268	0.25	0.307	1.72	39.6	3.99	44.7	218	595
195	0.434	0.505	0.619	0.93	0.775	0.957	0.35	0.255	0.139	8.5	2.89	-0.731	50.6	88.1	861
196	0.0758	0.751	0.539	0.134	0.438	0.105	0.386	0.311	0.116	0.118	11.2	-4.25	63.6	84.5	905
197	0.23	0.768	0.0689	0.328	0.485	0.633	0.3	0.385	0.254	8.55	2.67	-1.76	57.5	84.6	835
198	0.555	0.0398	0.214	0.136	0.314	0.144	0.328	0.273	0.111	1.05	8.69	-0.802	40.5	3.64	197
199	0.733	0.0215	0.0618	0.875	0.383	0.37	0.353	0.274	0.176	4.72	4.77	-8.77	46.4	18.3	305
200	0.216	0.0479	0.0939	0.523	0.817	0.577	0.204	0.394	0.295	9.96	38	-1.86	36.4	41.4	155
201	0.371	0.337	0.461	0.613	0.0173	0.372	0.211	0.388	0.332	3.67	22.2	0.787	43.9	87.3	451
202	0.363	0.313	0.249	0.427	0.851	0.419	0.279	0.363	0.139	7.83	23.7	-4.71	41.3	113	494
203	0.0995	0.739	0.298	0.975	0.0908	0.209	0.214	0.331	0.281	6.07	35.7	-10.2	43.4	161	451
204	0.233	0.174	0.471	0.291	0.0449	0.243	0.371	0.365	0.142	5.85	27.7	0.707	43	74.9	292
205	0.521	0.669	0.241	0.788	0.0981	0.195	0.3	0.327	0.162	1.71	16.6	-4.03	52.5	83.3	759
206	0.218	0.00893	0.106	0.726	0.965	0.867	0.323	0.273	0.366	2.35	10.7	-3.02	44.2	7.48	129
207	0.319	0.622	0.457	0.441	0.685	0.576	0.357	0.259	0.298	5.85	0.79	-9.78	58.7	52.7	950
208	0.731	0.383	0.596	0.768	0.974	0.13	0.222	0.396	0.226	6.87	17.4	-10.9	47	111	737
