dv1,dv2,of1,of2,nlc
0.6944770555,9.0900690803,19.8901811236,21.4053661732,4.5910455900
0.6954457009,7.1928376365,15.7882448672,17.3076595755,3.6429677664
0.6992562677,15.5158856118,34.1195581415,35.6556691741,7.9447076896
0.6992562677,15.9857437555,35.1507164557,36.6868274883,8.1852924490
0.7032525170,1.8536323318,4.3801199435,5.9338388953,0.9600078945
0.7206842726,1.1148595163,3.0056232218,4.6373219006,0.6063715999
0.7308947857,10.6180072812,24.4384825876,26.1167439642,5.9399305056
0.7315671773,12.1070666947,27.8762540938,29.5576047466,6.7854081638
0.7393287638,13.2897219496,30.9153648651,32.6325814666,7.6071103870
0.7549741681,14.7053449763,34.9243866401,36.7150504533,8.7774430364
0.7733027222,10.6340998833,25.9027224644,27.7813857609,6.6592977140
0.7826928705,0.6587837174,2.5155471952,4.4401123944,0.4226240721
0.7826928705,3.6299139651,9.1307363372,11.0553015364,2.3286686978
0.7826928705,17.8496959144,43.9328310028,45.8573962020,11.4509678578
0.7956169596,14.5533746921,36.4305420551,38.4191901426,9.6471802494
0.8077807821,13.3124683487,33.8454287335,35.8953487024,9.0964982345
0.8097720802,9.0878907913,23.2109559911,25.2709951238,6.2404702211
0.8205759622,18.2302182625,47.0435450682,49.1589204901,12.8545852162
0.8212915812,1.6382452853,4.7283688916,6.8474355326,1.1571836446
0.8213803828,8.7063108705,22.5658950424,24.6854199535,6.1510809247
0.8269447232,7.0084856576,18.3338146056,20.4821537081,5.0188679292
0.8547931308,10.7041517416,28.8365638010,31.1320353782,8.1903586938
0.8602047855,8.1179829725,22.0609613703,24.3855899954,6.2904318651
0.8619338697,11.3605267049,30.8509604258,33.1849438426,8.8384269784
0.8668331527,8.0187310688,21.9641230705,24.3247148936,6.3096503309
0.8760296511,6.9014107468,19.1459730405,21.5569190491,5.5463095645
0.8836129871,7.1394426688,19.9699633244,22.4228306238,5.8373684862
0.8855383708,6.1469764477,17.2774342148,19.7410027061,5.0478324979
0.8924118946,1.0607008175,3.8862769460,6.3882381610,0.8846107687
0.8924118946,11.4095401817,32.0854237002,34.5873849152,9.5154090053
0.9086296618,19.4758593568,55.6551738371,58.2488974323,16.8383319837
0.9300795295,8.1179829725,23.8753583975,26.5929866231,7.3538865537
0.9383251336,12.3533045372,36.5204068472,39.2864348425,11.3898620615
0.9435148774,7.1019769866,21.2362121222,24.0329217520,6.6207224763
0.9506699960,19.3338603058,57.8126163079,60.6519043113,18.2981325418
0.9584850031,10.6180072812,32.1026213100,34.9887820640,10.2150919669
0.9588536531,9.9319913285,30.0575131206,32.9458944373,9.5624593967
0.9627971616,8.4645780588,25.7680389358,28.6802273871,8.2168154892
0.9713895251,16.7919077989,51.3297079005,54.2941072183,16.5926400079
0.9731711591,7.7934940848,24.0121496804,26.9874330320,7.7292844003
0.9797186595,14.1541918712,43.6690972801,46.6845507532,14.2271023459
0.9803040051,4.3217523975,13.6478815775,16.6669393702,4.3492067513
0.9803040051,14.2341777655,43.9410608969,46.9601186896,14.3246017686
0.9913119958,13.3157306878,41.5839185427,44.6711599877,13.7029585498
0.9942786400,0.7049615684,3.8071781714,6.9129252968,0.7298107882
1.0095633385,6.7649706578,21.6936352312,24.8956034347,7.2204069812
1.0202639694,13.3078462413,42.7801982873,46.0504032433,14.5064615773
1.0239756485,7.1337265741,23.1837957124,26.4778376952,7.8329316097
1.0253389743,19.1585637066,61.8018332813,65.1046525084,21.0924241915
1.0255574254,2.2585674572,7.9918920254,11.2961187502,2.4876063173
1.0350470250,3.7223833072,12.5632762566,15.9289346618,4.1760902217
1.0426119999,11.5221983621,37.8947188119,41.3097550064,13.1162414822
1.0654402622,14.9302700418,50.1013739019,53.6675934938,17.7482071782
1.0775622498,6.5218105104,22.3773611953,26.0251913524,7.9301523530
1.0775622498,9.2321920345,31.4655490568,35.1133792139,11.2258228398
1.0898409929,18.3461864378,62.9250759347,66.6565132582,22.8192149388
1.0992466943,9.3119518782,32.3810430834,36.1771655017,11.7831030942
1.0994637204,7.1171487435,24.8747102386,28.6723317543,9.0094123997
1.1129780165,5.8571763364,20.8462120933,24.7377659503,7.5978390544
1.1161306413,13.2599295272,46.6594065400,50.5730380746,17.2981594480
1.1237336002,8.7232371274,31.0502323453,35.0173639331,11.5354098521
1.1296293564,2.0416170554,8.2804774467,12.2893459682,2.7281914488
1.1296293564,7.7122431191,27.6615164271,31.6703849486,10.3057895568
1.1296293564,11.3273210038,40.3981963207,44.4070648422,15.1365802016
1.1677129246,13.0876039123,48.2023159391,52.4860455168,18.6879186599
1.1694723839,5.1186782704,19.2906415371,23.5872899166,7.3310535653
1.1717017699,8.0187310688,29.8304747315,34.1435202797,11.5283841130
1.1910801992,3.3878165686,13.4374833017,17.8943729632,5.0330415464
1.1996550165,12.0945349578,45.8058988930,50.3271915739,18.2276441277
1.2025825825,0.1537962538,4.5803903956,9.1237769834,0.2329186123
1.2051378289,7.9676829595,30.5091745881,35.0718892563,12.1180879702
1.2051378289,14.6893398160,55.8014590439,60.3641737120,22.3410887479
1.2076791614,9.8049683356,37.4815218792,42.0635000718,14.9753836973
1.2125393055,13.4448023762,51.4232079579,56.0421394813,20.7002071735
1.2148061680,2.7707381559,11.5460256412,16.1822436470,4.2819153760
1.2154508527,10.1771206922,39.1370052605,43.7781453557,15.7444809657
1.2179839524,12.7260092985,48.9174380496,53.5779433390,19.7698778825
1.2181047263,6.9436392127,26.9776142332,31.6390438292,10.7890951101
1.2185240822,9.4443166114,36.4535263920,41.1181661137,14.6847781365
1.2235568842,10.2487643670,39.6751602388,44.3784117363,16.0675054523
1.2323676614,6.9436392127,27.3030940025,32.0743251795,11.0432359647
1.2482045317,7.6190412918,30.2752119092,35.1698589831,12.4308393885
1.2529015361,18.6764937726,73.6778935685,78.6094471495,30.7013765815
1.2550233078,10.6180072812,42.1558044717,47.1040752336,17.5135916593
1.2550604815,5.2809626820,21.4022036111,26.3507675124,8.7110604308
1.2572888943,4.4113986494,18.1184208320,23.0845731014,7.3025591381
1.2572888943,4.9527296820,20.1832425085,25.1493947779,8.1986699166
1.2605786236,13.4505294885,53.5005379299,58.4927123339,22.3824630109
1.2712647632,8.0933801681,32.7196275273,37.7967997055,13.6971615391
1.2715842953,15.0396121363,60.2946012057,65.3743259969,25.4656968729
1.2715842953,16.5294640868,66.2270003461,71.3067251372,27.9883761688
1.3140952873,1.6110010639,8.5827743689,14.0078224084,2.9132527211
1.3310335164,16.8507049777,70.6817991013,76.2476024225,31.2625699096
1.3368408668,10.1603465575,43.0392951007,48.6537720007,19.0150103477
